Sensor at x=2716507, y=2935757: closest beacon is at x=2710394, y=2763439
Sensor at x=3999794, y=3723425: closest beacon is at x=3369445, y=3597264
Sensor at x=3657442, y=1764502: closest beacon is at x=3049587, y=2338806
Sensor at x=3164509, y=3196584: closest beacon is at x=3369445, y=3597264
Sensor at x=2809936, y=2799950: closest beacon is at x=2710394, y=2763439
Sensor at x=2694454, y=2773569: closest beacon is at x=2710394, y=2763439
Sensor at x=10878, y=1715223: closest beacon is at x=325433, y=2000000
Sensor at x=803461, y=2606485: closest beacon is at x=325433, y=2000000
Sensor at x=675548, y=1606326: closest beacon is at x=325433, y=2000000
Sensor at x=2679411, y=2786440: closest beacon is at x=2710394, y=2763439
Sensor at x=2154234, y=2343200: closest beacon is at x=3049587, y=2338806
Sensor at x=2110512, y=354398: closest beacon is at x=1675167, y=-146032
Sensor at x=2791638, y=1261304: closest beacon is at x=3049587, y=2338806
Sensor at x=1312875, y=239990: closest beacon is at x=1675167, y=-146032
Sensor at x=3942335, y=797194: closest beacon is at x=3809420, y=402553
Sensor at x=2701618, y=2767691: closest beacon is at x=2710394, y=2763439
Sensor at x=3984844, y=228193: closest beacon is at x=3809420, y=402553
Sensor at x=2860718, y=2887510: closest beacon is at x=2710394, y=2763439
Sensor at x=3621521, y=3823030: closest beacon is at x=3369445, y=3597264
Sensor at x=3750994, y=3221696: closest beacon is at x=4361396, y=3105847
Sensor at x=182700, y=100955: closest beacon is at x=1675167, y=-146032
Sensor at x=2647016, y=2816460: closest beacon is at x=2710394, y=2763439
Sensor at x=3190979, y=2626436: closest beacon is at x=3049587, y=2338806
Sensor at x=2772574, y=2692795: closest beacon is at x=2710394, y=2763439
Sensor at x=3538486, y=282: closest beacon is at x=3809420, y=402553
Sensor at x=3688953, y=378293: closest beacon is at x=3809420, y=402553
Sensor at x=2698132, y=2757338: closest beacon is at x=2710394, y=2763439
Sensor at x=305105, y=3671091: closest beacon is at x=325433, y=2000000
Sensor at x=2715037, y=2453: closest beacon is at x=1675167, y=-146032
Sensor at x=3740685, y=2657814: closest beacon is at x=4174142, y=2733685
Sensor at x=3911207, y=340249: closest beacon is at x=3809420, y=402553
Sensor at x=1554097, y=1471192: closest beacon is at x=1675167, y=-146032
Sensor at x=1891025, y=3796582: closest beacon is at x=3369445, y=3597264
